Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
INA1,INA199xxDCK,SOT-363_SC-70-6,156.55,-108.45,0,Top
MCU1,STM32L431KCUx,QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm,166,-118.4,0,Top
Q1,2N7002,SOT-23,172.6415,-120.15,180,Top
